GESTURE,ACC-X-MIN-Ring1,ACC-Y-MIN-Ring1,ACC-Z-MIN-Ring1,GYRO-X-MIN-Ring1,GYRO-Y-MIN-Ring1,GYRO-Z-MIN-Ring1,ACC-X-MIN-Ring2,ACC-Y-MIN-Ring2,ACC-Z-MIN-Ring2,GYRO-X-MIN-Ring2,GYRO-Y-MIN-Ring2,GYRO-Z-MIN-Ring2,ACC-X-MIN-Ring3,ACC-Y-MIN-Ring3,ACC-Z-MIN-Ring3,GYRO-X-MIN-Ring3,GYRO-Y-MIN-Ring3,GYRO-Z-MIN-Ring3,ACC-X-MAX-Ring1,ACC-Y-MAX-Ring1,ACC-Z-MAX-Ring1,GYRO-X-MAX-Ring1,GYRO-Y-MAX-Ring1,GYRO-Z-MAX-Ring1,ACC-X-MAX-Ring2,ACC-Y-MAX-Ring2,ACC-Z-MAX-Ring2,GYRO-X-MAX-Ring2,GYRO-Y-MAX-Ring2,GYRO-Z-MAX-Ring2,ACC-X-MAX-Ring3,ACC-Y-MAX-Ring3,ACC-Z-MAX-Ring3,GYRO-X-MAX-Ring3,GYRO-Y-MAX-Ring3,GYRO-Z-MAX-Ring3,ACC-X-MEAN-Ring1,ACC-Y-MEAN-Ring1,ACC-Z-MEAN-Ring1,GYRO-X-MEAN-Ring1,GYRO-Y-MEAN-Ring1,GYRO-Z-MEAN-Ring1,ACC-X-MEAN-Ring2,ACC-Y-MEAN-Ring2,ACC-Z-MEAN-Ring2,GYRO-X-MEAN-Ring2,GYRO-Y-MEAN-Ring2,GYRO-Z-MEAN-Ring2,ACC-X-MEAN-Ring3,ACC-Y-MEAN-Ring3,ACC-Z-MEAN-Ring3,GYRO-X-MEAN-Ring3,GYRO-Y-MEAN-Ring3,GYRO-Z-MEAN-Ring3,ACC-X-VAR-Ring1,ACC-Y-VAR-Ring1,ACC-Z-VAR-Ring1,GYRO-X-VAR-Ring1,GYRO-Y-VAR-Ring1,GYRO-Z-VAR-Ring1,ACC-X-VAR-Ring2,ACC-Y-VAR-Ring2,ACC-Z-VAR-Ring2,GYRO-X-VAR-Ring2,GYRO-Y-VAR-Ring2,GYRO-Z-VAR-Ring2,ACC-X-VAR-Ring3,ACC-Y-VAR-Ring3,ACC-Z-VAR-Ring3,GYRO-X-VAR-Ring3,GYRO-Y-VAR-Ring3,GYRO-Z-VAR-Ring3,ACC-X-SKEW-Ring1,ACC-Y-SKEW-Ring1,ACC-Z-SKEW-Ring1,GYRO-X-SKEW-Ring1,GYRO-Y-SKEW-Ring1,GYRO-Z-SKEW-Ring1,ACC-X-SKEW-Ring2,ACC-Y-SKEW-Ring2,ACC-Z-SKEW-Ring2,GYRO-X-SKEW-Ring2,GYRO-Y-SKEW-Ring2,GYRO-Z-SKEW-Ring2,ACC-X-SKEW-Ring3,ACC-Y-SKEW-Ring3,ACC-Z-SKEW-Ring3,GYRO-X-SKEW-Ring3,GYRO-Y-SKEW-Ring3,GYRO-Z-SKEW-Ring3,ACC-X-KURT-Ring1,ACC-Y-KURT-Ring1,ACC-Z-KURT-Ring1,GYRO-X-KURT-Ring1,GYRO-Y-KURT-Ring1,GYRO-Z-KURT-Ring1,ACC-X-KURT-Ring2,ACC-Y-KURT-Ring2,ACC-Z-KURT-Ring2,GYRO-X-KURT-Ring2,GYRO-Y-KURT-Ring2,GYRO-Z-KURT-Ring2,ACC-X-KURT-Ring3,ACC-Y-KURT-Ring3,ACC-Z-KURT-Ring3,GYRO-X-KURT-Ring3,GYRO-Y-KURT-Ring3,GYRO-Z-KURT-Ring3
up,-25.49,-1.9,-5.62,-51.81,-131.4,-20.02,-24.35,-2.66,-5.18,-59.38,-183.54,-45.85,-21.47,2.56,-7.03,-25.78,-45.17,-28.27,-1.73,7.68,22.29,42.09,131.01,20.07,3.02,5.66,21.96,49.76,169.14,20.7,-13.37,14.04,8.74,18.12,38.33,46.83,-10.751499999999997,2.319,12.2255,-1.4164999999999996,-15.241500000000002,2.5484999999999998,-8.930000000000001,0.869,13.880499999999998,-0.34050000000000036,-9.8705,-0.6645,-16.1175,11.595500000000003,4.773999999999999,-5.408,-4.351499999999998,4.745500000000001,68.22522275,7.706859,102.93837475000001,462.2306927500002,4655.768642749999,84.18962274999998,109.75460000000001,3.6988789999999994,77.47173475000001,506.39319475000013,6400.9920947499995,251.49133475,7.083018749999999,8.292244749999998,25.748324000000004,124.57432600000001,374.55437275,281.78228475,-0.26833554629813394,0.3657516411840278,-0.5192343316959659,-0.13769309993186613,0.28733881862910643,-0.5816693504952654,-0.24453979807358747,0.4251991494468248,-0.9704160659017793,-0.277283769138109,-0.04617940482162572,-1.724161120864098,-0.8385550183199058,-1.96218233055745,-1.2397447400896136,-0.09441603427331516,-0.36957133965045585,0.4342606162930262,-1.6336206978762773,-0.868742115136965,-1.56109959561139,0.7348825391110463,0.09628663886279698,0.5151449063967481,-1.715315171924642,0.6210578519451602,-0.5286874630178882,2.4069997098101465,0.5906496031458159,3.3775453639113717,-0.9714764625598238,3.7941279966144776,0.04759693752575789,-0.12905812918619608,0.9618626976044382,1.525856694901277
up,-21.04,-2.99,-4.52,-17.09,-213.67,-20.7,-23.94,-5.24,-2.05,-25.44,-159.03,-15.77,-19.95,6.77,-1.74,-18.8,-55.96,-26.81,-1.82,5.5,23.52,48.49,123.49,7.76,5.47,1.23,23.33,33.01,138.96,22.31,-8.56,16.93,11.81,33.25,29.44,47.31,-10.417499999999999,0.49150000000000027,14.6435,6.920500000000001,-10.622,-1.887,-6.9784999999999995,-0.40299999999999975,15.462,0.16499999999999979,-14.218999999999998,1.8559999999999994,-13.833499999999997,12.657500000000002,8.157,1.103,-4.494999999999999,5.2505000000000015,46.007788749999996,4.84916275,73.48086275,289.36635475,7641.833845999999,49.398830999999994,115.03347275000002,2.9798210000000003,62.20285600000001,161.369795,5245.961668999999,51.29611399999999,10.780612750000001,5.895598750000001,18.405390999999998,156.530271,419.448905,324.39892475,-0.2376264446097996,0.9662304309842963,-0.9494215231925837,0.9782670235516794,-0.7827357864240528,-1.0080568036147735,-0.47109783636874947,-1.7126314045578999,-1.1763674293820596,0.8714339672995803,-0.15506795936650872,0.2303697319448003,-0.8535349625967344,-1.0473766541244764,-1.3986040508953708,0.882032459406221,-0.9200156710607625,0.7580642755895338,-1.756226640849741,0.06021897673525389,-0.5253265594653773,0.19216954188855428,0.5337356697126889,0.8486237065079658,-1.6207724314365093,2.4698048977101683,0.06133792234463353,1.880251245403855,0.1815073170202406,3.9657302633186706,-0.4979744512623805,1.0578702281827317,0.4130070600101656,1.8153963841936989,1.17642867065676,0.7544323366171444
up,-23.73,-1.59,-3.82,-39.26,-122.22,-7.67,-23.28,-0.66,-1.01,-30.13,-116.06,-17.14,-22.07,0.37,-5.99,-21.14,-40.38,-54.2,0.77,7.29,22.47,37.84,154.64,11.18,5.33,3.83,22.6,28.66,176.22,25.83,-11.22,16.14,11.5,29.2,55.32,42.53,-11.4805,2.319,12.627,-4.511500000000001,-4.564000000000002,2.3139999999999996,-8.708999999999996,1.843,14.169,-1.1125000000000003,-15.065000000000001,5.214499999999998,-15.813500000000001,10.696000000000002,5.505999999999999,0.4109999999999999,-4.770999999999999,5.531499999999999,72.37476475000001,9.372209,80.911351,581.8171627499999,5868.559503999999,23.981724,112.82854900000002,1.415771,63.750198999999995,281.17388874999995,6456.005545,101.66229475,15.848512749999998,22.055264,36.873484,139.431689,759.666089,667.7037727500001,0.19590747107898412,0.09397649884903242,-0.6080851791635975,0.18818158836205084,0.493446055987158,-0.18037112566928315,0.13881694628642885,-0.032986911752409837,-0.731035469858304,0.22698572246864734,0.7526389529046799,-0.026156357633348115,-0.28979274236475894,-0.7396422430541112,-0.7049444618316932,0.33054130767677486,0.7380858545713841,-0.8387654854905844,-1.6269962302079939,-1.6724834783579907,-1.205543279381787,-1.1390966026664424,-0.7548843534965051,-0.03852219351176567,-1.8075513192926387,-0.46179256280207426,-0.949017161879111,-0.9136783595613154,-0.16222344289136137,0.44909122333707385,-1.7076711919972472,-0.797236076006548,-1.0773556196079679,0.9164109269750123,0.17705028578049387,0.46849495690022724
up,-21.16,-2.7,-3.78,-60.06,-140.58,-11.57,-25.08,-5.93,-2.54,-43.75,-143.31,-28.37,-20.03,6.05,-3.29,-17.53,-40.04,-31.64,2.5,7.83,23.73,59.86,162.6,10.25,7.84,6.34,22.38,32.81,183.59,9.42,-5.34,21.37,10.76,52.69,28.13,56.64,-9.920999999999998,2.4364999999999988,13.191999999999998,-1.4415000000000004,-4.1455,-1.1965000000000003,-8.6065,1.4855000000000003,13.967499999999998,-2.9210000000000003,-3.9384999999999963,-2.433999999999999,-11.966000000000001,14.011500000000002,5.4125,3.511,-4.865500000000001,8.7605,75.411579,14.390512750000003,89.11255599999998,828.1737827499999,6353.23469475,28.207362749999998,130.61239274999997,8.10439475,72.36779874999999,285.983409,6652.690072750001,117.82526400000002,34.489624000000006,22.143682750000004,27.435688750000004,264.881929,461.8889747499999,692.15286475,0.16512752973623565,-0.10429934270614352,-0.628099839214245,0.18946293909652778,0.13798068128283128,-0.05411148531447778,-0.16794939227243613,-0.4961373679661973,-0.8017582720659833,-0.040016313650209925,0.3078731332626888,-1.301911242498758,-0.10778166779324355,-0.4696877111533278,-0.5225726296265945,1.7083219859501035,-0.1789400104538716,0.31021817154760073,-1.6632346004499137,-1.9185651880189332,-1.2259714803638309,-0.04046333920903722,-0.5218423001754577,-0.08252687192575792,-1.7192188905948111,0.667081855551511,-0.9373828216707696,1.1459587806496838,-0.034214841159237785,0.9908441262756318,-1.8693047532781921,-1.0973724282804782,-1.4512909570128403,3.1858204163286823,-1.0370136010506972,-0.876243804589214
up,-29.04,-3.01,-2.65,-25.24,-115.48,-27.29,-22.68,-1.13,1.54,-22.02,-147.51,-7.67,-17.84,6.44,-3.63,-63.38,-52.39,-36.18,0.84,5.51,23.29,36.47,146.19,17.14,4.84,8.28,22.12,24.07,39.31,23.39,-3.01,19.39,10.66,8.5,22.95,63.57,-10.3315,0.3325000000000003,14.828000000000003,-0.0319999999999996,-1.321499999999999,-1.6649999999999998,-3.2744999999999997,1.6325000000000003,16.6875,2.659,-31.268000000000008,2.3265,-8.165,14.941000000000003,6.971500000000001,-8.1395,-9.546,10.766499999999997,115.71597274999999,8.423908749999999,82.319126,293.373966,5342.47230275,130.495605,86.61747475000001,5.6577987499999995,44.54112875,108.940349,2842.9331159999997,39.86620275,31.416604999999997,14.140878999999998,27.221002749999997,406.08329475000005,340.90796400000005,533.74027275,-0.41123274433060764,0.6554224895178945,-0.8913894135836963,0.42249786879279627,0.5604231124940405,-0.3929894512970768,-1.0442898239361549,1.3736085939845795,-1.4509090953012134,-0.39430530660932367,-1.306964197182825,1.8471304785579368,-0.9157090398000494,-0.9942759933666623,-1.2574336447616368,-1.8673421235931749,-0.9612139894106038,0.7399655210590089,-1.6664808087333691,-1.1577125280813205,-0.849399856879745,-0.503864119564351,-0.08126533265688662,-0.1792459678016618,-0.3136628238922441,1.451871062450576,0.5797669611904706,0.9191785307238529,0.6068466132664794,5.323858761211623,-0.9987807660673576,-0.46801675604182247,-0.20938605117789377,2.4307267037341687,0.5461100767889873,0.8053261657000368
up,-23.98,-2.55,-2.48,-54.54,-178.37,-24.61,1.19,1.12,19.89,-2.25,-5.27,-1.71,-24.17,3.18,-5.52,-72.31,-64.26,-74.61,-0.12,6.69,23.08,27.49,130.96,18.26,3.27,2.74,21.1,7.08,6.69,1.46,-0.92,22.04,8.41,35.6,22.07,153.91,-7.365500000000003,0.748,15.110500000000002,-5.010500000000001,-12.069999999999997,-0.7045000000000006,2.584,1.9125,20.4925,1.3560000000000003,-0.559,-0.168,-7.763999999999998,15.731,4.081,-3.6084999999999994,-4.781000000000001,8.264,79.91633474999999,7.198115999999999,87.29672475,408.56829475000006,5463.83577,109.29135474999998,0.257894,0.21431874999999997,0.08897875000000022,6.960064,8.477209000000004,0.906856,62.113353999999994,25.972119,23.942578999999995,351.6473727500001,512.6594589999999,2467.1803640000003,-0.9393665244023393,0.8700159882466361,-0.8952141304635006,-0.9240226051051671,-0.41369359479649725,-0.6462401534879421,-1.0272724498793067,-0.2500739572796057,-0.04086832783625323,0.836485032321361,1.3241495793149587,-0.05148371247774579,-0.8880219326093447,-1.3474850722435858,-0.936961661547421,-2.119931465119335,-1.418919500286529,1.1837373384580085,-0.9325059719412683,-0.4244975011873664,-1.021313075831173,1.2164440027955976,1.3897944668386026,0.5512792347000932,1.297879735430401,-1.0094582548751685,-0.33390470909842884,-0.07769941032803152,2.039177765209762,-0.9755318650954736,-0.8757647723494615,0.8895644844267956,-0.7854194499903118,9.514790123493652,1.6259636534827608,2.727219963762513
up,-22.63,-0.07,-10.23,-39.8,-121.53,-13.28,-18.17,0.62,-3.44,-16.7,-110.79,-9.28,-21.36,2.82,-5.47,-21.97,-41.7,-117.63,-2.0,11.52,23.82,35.35,82.52,19.87,-0.38,6.69,22.37,12.79,4.59,15.43,-0.33,20.96,4.97,28.22,24.9,102.44,-9.6485,3.2165,13.358,-2.2445,-27.303499999999996,-0.6925,-5.4285000000000005,2.5645,17.820999999999998,-0.3419999999999999,-29.509000000000007,0.3045000000000001,-7.6594999999999995,15.255499999999998,1.9044999999999999,1.7814999999999999,-6.975499999999999,13.742999999999999,47.867212749999986,8.082252750000002,127.57418600000003,269.33601475,2841.14465275,49.07262874999999,32.07218275000001,2.5353447500000006,44.07578900000001,59.69338599999999,1489.5431590000003,27.727234749999997,60.47588475,38.05214475,11.524754749999998,187.75371274999995,324.66414475,2611.413781,-0.6724399017792696,1.2381609838026106,-1.1393482926992282,0.41806361810238907,0.09300918772143632,0.9171081470022294,-1.4502557821471438,1.2127439636826904,-2.321736315458858,-0.2780771474891702,-1.0533539642796443,1.3240604725648926,-0.8363762848932891,-1.2340579104619784,-1.255347975050874,0.2860427168724149,-0.5186463856748503,-0.6462407678574399,-1.2437235220360483,1.8624703219134542,-0.23672936505687803,1.511840292602261,-0.21283416826570978,2.7043177558590736,0.6426067896894407,1.0297520507270743,4.92040268303967,-0.3597791107552797,-0.32832645722192355,2.837298234444459,-1.0505596604731102,-0.1525582472441105,0.011438736005788819,-0.4474494016029449,0.18241403740089712,1.2751411380488022
up,-23.49,-1.71,-4.44,-33.25,-111.08,-23.34,-23.66,0.57,-2.69,-21.92,-116.16,-11.77,-18.48,9.65,-2.83,-36.13,-42.48,-5.76,1.16,7.41,22.63,22.17,61.91,12.74,4.02,4.49,22.82,2.73,4.59,12.79,2.56,19.79,8.38,3.47,3.81,112.16,-6.7465,0.897,15.799999999999997,-5.6735,-23.759999999999998,-1.6194999999999993,-1.1515000000000009,1.752,18.508499999999998,-4.541500000000001,-26.681999999999995,1.1055,-1.2595,17.1235,6.426,-5.3125,-6.283500000000002,19.851,85.35213275000001,9.627791000000002,86.07582,143.08404274999992,1973.7119000000007,53.30775475,70.92342275000003,0.6848759999999999,38.07064275000001,60.236762750000004,1580.4746760000003,17.633474749999998,39.47668475,4.616292749999998,9.563584,104.63774874999999,179.72877275,1194.415319,-0.8077010836329889,1.2276240101922353,-1.2023110933883638,-0.2745915980707243,-0.6472038153753568,-1.4903211509332328,-2.0870308354609772,1.8693018438152922,-2.7816872408403697,-1.3660444659962034,-1.2813492890205402,-0.3451429322908605,-1.851379818802716,-2.4044502139118316,-1.960644589868256,-1.9067041192172218,-1.7670159323343868,1.7742966947638659,-1.1688926637348587,-0.07805611944752133,-0.31482018385453037,0.906746987206172,-0.059249123795309444,3.7212090474017963,3.3766484862996613,4.986864074351118,7.347272824479431,0.6586743250843803,0.07268661707321744,6.213787495180508,2.1764184792259424,6.834845180900517,3.112888625430804,3.3572005544397783,2.0849577967505812,2.1775693595508665
up,-22.67,-7.8,-10.55,-92.33,-259.28,-28.42,-28.33,-9.62,-10.22,-61.43,-190.09,-15.62,-22.52,1.4,-0.9,-13.82,-91.31,-56.69,6.73,5.7,27.9,70.31,225.93,10.64,4.13,2.65,26.68,77.54,55.42,19.38,5.86,27.07,6.85,30.62,9.57,227.44,-5.0015,0.26799999999999974,14.4055,-2.001999999999999,-2.1649999999999983,-3.7714999999999987,-2.712,0.5070000000000002,15.315500000000004,0.9889999999999999,-28.328000000000003,-1.116,-2.6425000000000005,15.4055,4.749499999999999,0.5320000000000001,-8.513,21.195,74.58507275000002,10.671526,139.19379475,1175.299436,11535.462945,100.22181275000001,115.85667600000002,9.489911,111.26090474999998,703.2548690000001,3951.7118959999984,47.572703999999995,87.06550874999996,46.631854749999995,5.649664749999999,70.59501599999999,577.0459109999998,3741.461305,-0.9823302812824882,-0.2341699428746317,-1.0071736949572998,-0.7394633923090811,0.05447957304159843,-1.2436871331733472,-1.6162612766012914,-2.3287296868472125,-1.4778557677745212,0.25040599777334954,-1.5175415900279607,0.8452562686280668,-1.4017671916099539,-0.9957398090692661,-1.5309523603567607,2.1864964378413565,-2.4778603270476154,2.259449602249685,-0.4937989467104522,0.28408185562314836,-0.5193229502609995,2.799809972545675,1.320785554178852,0.5792940085237603,0.9758071035589859,5.339837470688137,0.7575283715732155,3.931415568279051,1.2646258599317424,3.2514398411464134,0.2598464076526641,0.297534898333073,1.0534792713513834,7.865244813200617,6.380974474310893,5.778726693325927
up,-24.68,-8.97,-6.0,-48.68,-213.62,-28.76,3.96,1.76,19.19,-2.49,-4.64,-4.15,-11.59,12.15,1.23,-34.08,-31.1,-7.57,13.52,9.89,27.65,21.44,167.58,8.94,5.5,3.21,20.5,4.1,4.39,4.59,8.1,22.51,3.8,27.83,6.79,171.88,-2.246500000000002,-0.5279999999999999,16.5975,-2.6855000000000007,-19.648500000000002,-2.673,4.9535,2.3920000000000003,19.789499999999997,0.1325,0.43900000000000006,0.6204999999999998,2.7365000000000004,18.139499999999998,2.3895,-0.38600000000000007,-1.9135000000000002,19.084000000000003,134.18730275000001,12.460646,92.16800875000003,177.01399475,7240.25882275,104.990751,0.17705275000000006,0.14514600000000002,0.1519747499999998,3.950748750000001,7.200289,4.648474750000001,20.83953275,4.979904749999998,0.35614475,177.35045399999996,109.23532275,2678.491834,-1.0093389163683946,0.7733388293100962,-1.3298835520240355,-2.1542086788318318,-0.6122648902664516,-1.5347813289388836,-0.7245888425034613,0.2914328021795377,0.09109017201965054,0.570783827560365,-0.30799745707068626,0.16522793874918926,-2.2016782526368592,-0.9656887672766987,-0.18962344993132269,-1.053051036620348,-2.242138810513546,2.552839382184248,-0.2871104253539327,3.843478802190761,0.5342738078294627,7.0137895611880285,1.5364826961465594,1.362505298382703,-0.04984499571330847,-0.38798740502159124,-1.3450707031028628,-0.6541649524844355,-1.1043131920675395,0.2784152930640058,4.407876841366681,2.4530217200114377,0.8161501312262249,2.66700363711361,4.408852853429462,5.523132546962509
