GESTURE,ACC-X-MIN-Ring1,ACC-Y-MIN-Ring1,ACC-Z-MIN-Ring1,GYRO-X-MIN-Ring1,GYRO-Y-MIN-Ring1,GYRO-Z-MIN-Ring1,ACC-X-MIN-Ring2,ACC-Y-MIN-Ring2,ACC-Z-MIN-Ring2,GYRO-X-MIN-Ring2,GYRO-Y-MIN-Ring2,GYRO-Z-MIN-Ring2,ACC-X-MAX-Ring1,ACC-Y-MAX-Ring1,ACC-Z-MAX-Ring1,GYRO-X-MAX-Ring1,GYRO-Y-MAX-Ring1,GYRO-Z-MAX-Ring1,ACC-X-MAX-Ring2,ACC-Y-MAX-Ring2,ACC-Z-MAX-Ring2,GYRO-X-MAX-Ring2,GYRO-Y-MAX-Ring2,GYRO-Z-MAX-Ring2,ACC-X-MEAN-Ring1,ACC-Y-MEAN-Ring1,ACC-Z-MEAN-Ring1,GYRO-X-MEAN-Ring1,GYRO-Y-MEAN-Ring1,GYRO-Z-MEAN-Ring1,ACC-X-MEAN-Ring2,ACC-Y-MEAN-Ring2,ACC-Z-MEAN-Ring2,GYRO-X-MEAN-Ring2,GYRO-Y-MEAN-Ring2,GYRO-Z-MEAN-Ring2,ACC-X-VAR-Ring1,ACC-Y-VAR-Ring1,ACC-Z-VAR-Ring1,GYRO-X-VAR-Ring1,GYRO-Y-VAR-Ring1,GYRO-Z-VAR-Ring1,ACC-X-VAR-Ring2,ACC-Y-VAR-Ring2,ACC-Z-VAR-Ring2,GYRO-X-VAR-Ring2,GYRO-Y-VAR-Ring2,GYRO-Z-VAR-Ring2,ACC-X-SKEW-Ring1,ACC-Y-SKEW-Ring1,ACC-Z-SKEW-Ring1,GYRO-X-SKEW-Ring1,GYRO-Y-SKEW-Ring1,GYRO-Z-SKEW-Ring1,ACC-X-SKEW-Ring2,ACC-Y-SKEW-Ring2,ACC-Z-SKEW-Ring2,GYRO-X-SKEW-Ring2,GYRO-Y-SKEW-Ring2,GYRO-Z-SKEW-Ring2,ACC-X-KURT-Ring1,ACC-Y-KURT-Ring1,ACC-Z-KURT-Ring1,GYRO-X-KURT-Ring1,GYRO-Y-KURT-Ring1,GYRO-Z-KURT-Ring1,ACC-X-KURT-Ring2,ACC-Y-KURT-Ring2,ACC-Z-KURT-Ring2,GYRO-X-KURT-Ring2,GYRO-Y-KURT-Ring2,GYRO-Z-KURT-Ring2
up,-15.08,-10.26,13.23,-10.21,-16.21,-5.71,-8.93,16.53,5.12,-4.59,-6.54,-3.91,-9.69,-6.73,18.46,28.76,51.37,40.97,-7.8,18.03,7.25,1.61,2.93,10.35,-14.1665,-8.321000000000002,14.628500000000003,0.2944999999999999,6.4345,0.6594999999999999,-8.332500000000001,17.448999999999998,5.8695,-1.3355,-0.0395,0.5435,1.87111275,0.7280389999999997,2.2040427499999997,52.94833475,212.66059475000003,92.76090475,0.09185875000000002,0.10444899999999997,0.27658474999999993,2.5406847499999996,4.44086475,14.307922749999998,2.2120470162950734,-0.41963097121263093,1.3813523510888224,2.9779427177181756,1.7296858263164938,3.924262040531307,-0.23499642784574123,-0.6310278110126366,1.0325443514360568,-0.2452040501781345,-1.7198722072285273,1.3464519888171904,4.8892211098977665,0.48393345432625434,0.7396718246589309,12.132517957571546,3.601259084842061,16.508063070536927,-0.6856168242316478,2.1797059276716038,0.7757022764978929,-0.4916488037030864,3.439185736619331,1.1842763661848759
up,-17.15,-9.39,10.51,-9.96,-226.46,-7.62,-11.09,16.33,2.44,-11.13,-9.23,-9.77,0.95,-3.38,21.82,61.77,85.89,27.88,-9.41,18.09,5.29,22.7,18.51,8.15,-8.270500000000002,-6.5584999999999996,16.637,4.5005,-14.372499999999999,1.8215,-10.361,17.021500000000003,4.022,0.09499999999999986,1.0515,-0.6594999999999999,61.36366475,6.522912750000001,17.952871000000002,199.15836474999998,3434.98593875,48.00964274999999,0.36128899999999997,0.30496275000000006,1.021976,61.82504500000001,29.664912750000003,17.901024749999998,0.07796796691152443,0.20761221332434393,-0.014033806746185963,3.604220738492641,-2.3742089418706986,2.6625697981042373,0.1300142663361316,0.677416336539212,-0.16908555945084885,1.6100209012164761,1.7287081257731363,0.0649382338646133,-2.096302849046813,-2.1420530289872763,-1.9349930456586364,14.307357974763097,8.475980209711155,9.8940962852203,-1.7581720099064733,-0.5919780108515038,-1.488944968635685,2.583448014671344,4.951905177987978,0.2777295745356194
up,-17.89,-9.21,8.25,-45.8,-128.76,-21.87,-10.95,15.15,2.8,-22.17,-20.7,-28.22,-1.39,0.19,22.33,50.49,214.65,40.87,-8.38,17.71,9.06,0.44,3.03,4.79,-8.627500000000001,-4.1235,17.157999999999998,3.254500000000001,-1.3429999999999995,4.3919999999999995,-9.81,16.414499999999997,6.2989999999999995,-4.759499999999999,-5.4030000000000005,-1.7900000000000003,49.712638749999996,13.616812750000005,28.409685999999994,416.20383475,4739.696850999999,213.61909599999998,0.6179099999999998,0.4458447499999999,3.674549000000001,28.088524750000005,36.557791,48.78427,-0.3498691383914658,-0.26565591137132866,-0.5445707270851055,0.4539388797644431,1.1837896540798152,1.171160739898307,0.28640200060920745,0.4622938598295355,-0.5503994659511704,-2.169142290714903,-0.8994380486313329,-2.939809536680857,-1.9145738051046497,-1.9770080296010826,-1.7114669909837044,2.5595122169789217,4.364984529059422,2.0194707166327692,-1.2744141781098284,-0.26964601776849983,-0.8579030890240218,4.973691004890444,0.397610487989835,10.225116423416322
up,-17.32,-10.76,7.49,-10.25,-133.25,-10.99,-9.85,15.79,4.39,-22.8,-16.89,-9.23,-0.43,-0.15,22.73,60.11,29.39,48.05,-6.51,18.18,10.09,13.23,20.51,11.82,-9.168000000000001,-4.9505,16.615999999999996,8.379,-15.5715,5.776000000000002,-8.408000000000001,16.917,6.9995,-0.9610000000000001,-2.1744999999999997,0.7415,49.860555999999995,17.44408475,28.897184,275.65176900000006,1703.6165827500001,218.97980399999997,1.291336,0.49075100000000005,3.5025247500000005,55.25432900000002,99.67671475,32.911462750000005,0.0965726198079041,-0.21633613784463918,-0.49675975586643634,2.116098509656997,-1.2867607117014739,1.2516495083017987,0.37132422819764593,0.412819157018124,0.2826459321462983,-1.0428306339957503,0.7054704555937105,0.21301433449047708,-1.9668629528327572,-1.9157378814474755,-1.4873328975248632,4.752694983916735,1.5690575168235954,1.4904767922650644,-1.4364161949307483,-0.5463235084515068,-1.5508502832512419,2.979811575885652,-0.07874130436796456,-0.3190660469106361
up,-16.61,-7.43,12.42,-9.33,-108.74,-13.96,-6.34,14.55,0.55,-48.63,-35.3,-20.12,-1.18,3.69,22.57,70.61,29.93,69.97,-1.51,24.32,5.34,14.26,13.67,13.62,-8.1545,-1.4410000000000003,18.363999999999997,8.359,-14.7905,9.9565,-3.433,19.0055,3.1149999999999998,-2.5550000000000006,-2.3705,-0.14250000000000027,36.204384749999996,15.053538999999995,12.499094000000001,268.22255899999993,1475.5376847500002,411.19421275,1.6923109999999997,3.4783747499999995,2.871975,200.66520500000004,129.00353475,84.26408875000001,-0.2998676557253554,-0.43750484764367586,-0.6114172686729383,2.808817987261586,-1.6219382438789363,1.9601540065909682,-1.0653889479876453,0.2666078789193963,-0.09162894827500605,-1.9921735209961835,-1.5787303101921082,-0.6940654006141057,-1.8178866733232246,-1.5691928317457418,-1.1890242149055252,10.334545900684297,1.7336615336137706,3.7491153053451143,0.6967862102609352,3.423874056483604,-1.8799447448603754,4.70999661956561,2.967873043495741,-0.45375536400732264
up,-19.08,-8.03,6.71,-24.71,-231.64,-23.14,-6.53,17.7,0.94,-18.07,-18.99,-17.92,1.73,6.56,21.77,108.25,42.33,84.38,-3.94,21.07,5.78,3.27,27.73,23.29,-14.485,-5.003,12.648500000000002,6.288499999999999,-16.1505,3.8899999999999997,-5.011999999999999,18.892500000000005,3.9435000000000002,-4.0725,-3.3300000000000005,0.5709999999999997,44.92420499999999,17.330391,20.11163275,817.7244627499999,3643.0582947500006,529.70244,0.32878600000000013,0.59818875,3.1922027500000003,29.32141875,89.73902000000001,47.700859,1.600417026314856,1.8712686936143317,1.0152298207886754,2.640227488611554,-2.748367603563986,2.4601454226222375,-0.4052739142485095,1.1951097752646167,-0.682338009187367,-1.0195903145320053,1.3793053708954268,0.880926853285746,0.9245890221182709,2.3673817853980577,0.07005309516606006,7.905470643320516,8.135360196691192,6.915785583584691,1.4417177359943025,1.8061590345115217,-1.4148929789106237,0.6541217336327243,5.008510714186203,7.479122638229015
up,-19.44,-8.98,5.38,-47.8,-133.79,-26.71,-9.28,15.12,0.85,-30.22,-50.0,-29.2,-1.5,2.73,22.78,59.81,92.04,66.55,-4.69,20.36,7.3,12.11,26.07,27.05,-15.062999999999999,-5.2655,12.1995,0.16050000000000023,-2.051999999999997,5.183,-7.018000000000001,18.372,3.4695,-1.8835000000000002,2.248000000000001,-0.39150000000000007,27.043180999999997,12.47689475,31.522084749999998,392.6426747500001,2762.280876,390.92887099999996,1.8129359999999999,1.9182660000000002,3.80315475,98.20729274999998,233.254916,119.19282275000003,1.3192491021883226,0.9342554500127283,0.4353418763076919,0.7729173265383553,-0.7671403904571354,1.398139727588463,0.25646455387555334,-0.5075924421886869,0.6581479429662742,-1.3035490795298428,-1.9633908055352187,0.07924751785170624,0.8090673332418863,-0.14012157775149037,-1.3186994512867969,4.283798805981786,1.2303834260707847,3.5968133552980186,-0.6991217012195863,-0.3043024461752495,-0.7155705908654366,2.219130962908464,6.146829226447641,2.8110842090846866
up,-16.04,-7.72,12.38,-3.66,-28.91,-3.37,-5.61,17.76,3.38,-5.22,-3.52,-4.49,-12.31,-5.03,18.15,22.66,1.46,14.01,-4.28,19.53,5.53,0.98,1.37,1.42,-13.761,-6.135,16.16,4.029,-5.823,1.318,-4.921,18.750999999999998,4.4815,-2.143,-0.5840000000000001,-1.1925000000000001,0.9534990000000001,0.4703850000000001,1.6762599999999992,26.900309,40.469761000000005,11.068686000000001,0.14200899999999994,0.14990900000000001,0.28195275000000003,2.5471510000000004,1.9720940000000002,2.8612587500000006,-0.6337161334918092,-0.7885894357572235,-1.346464410668902,2.252310006446516,-2.500098748659684,2.7857549033257647,0.1864235349220958,-0.7105756891964933,0.14964490905695188,0.08343735247447741,-0.5236546231816804,-0.5142560892814071,-0.056262255423483065,0.06838273991603128,2.377964063700463,7.805155604597768,8.067964261090035,10.636165051393528,-0.9688621444682268,1.343842100113097,-0.2719376130035327,-0.3314656314766724,-0.4727038076217869,-0.2037704116777892
up,-17.5,-9.17,8.38,-49.12,-43.46,-13.53,-5.56,18.01,2.87,-3.71,-5.86,-8.74,-13.13,-4.76,15.88,31.93,80.47,13.96,-3.89,20.86,5.29,14.6,9.08,14.79,-16.321,-7.7475,12.407500000000002,0.10000000000000071,4.617999999999999,-0.027499999999999948,-5.0295,18.9715,3.934,1.4104999999999999,1.246,0.7695000000000001,1.3051089999999999,0.95257875,3.1579987499999995,220.76239,700.8781059999999,33.03596875,0.22745474999999987,0.4339827500000002,0.27651400000000004,21.666914749999997,11.990613999999999,37.37883475,1.5470487258157581,1.625506501930363,0.18360140182870388,-1.4758975765638627,1.16619619549518,0.0029718349237608235,1.2620842000397998,1.141885614025249,0.7445726462736294,1.9025562233075146,0.1651908369508082,0.43134539804529215,1.7755019225777797,3.3931807287901474,0.4930755965077731,6.0450781360325525,2.6121511467248277,1.7452196347442106,0.5496468682834701,1.9649415373273094,1.6891259196526862,2.9966371312951274,1.0182039745719234,0.12972950557583784
up,-17.52,-9.51,9.87,-18.51,-174.71,-12.55,-6.31,17.64,2.61,-9.28,-5.96,-10.94,-2.88,3.08,23.11,97.66,49.17,78.66,-3.6,20.76,5.17,19.19,16.5,26.07,-9.422,-2.5275000000000003,16.776,7.9905,-13.137000000000006,6.63,-5.287,18.639499999999998,4.2365,-0.3909999999999997,0.9955,0.30350000000000005,44.573995999999994,26.087208750000002,25.890154000000003,699.8674047500001,2379.427211,441.2404399999999,0.283181,0.4455647500000003,0.6096627499999999,46.074389000000004,21.637824750000004,67.15333274999999,-0.21748690597946177,-0.2720435849543963,-0.30059991135649816,2.7370288020201916,-2.247026452598134,2.6828521096475497,1.2374377046277705,1.4394098858366426,-0.5411105949026969,1.669739985752786,2.1488769965767784,2.1067055727551076,-2.125691198250567,-2.032398799476112,-1.9432511076887802,7.264053034838298,5.946577330953165,7.177566306182575,4.505777041080002,4.0985798571106065,-0.8270089562591485,2.946955594581099,5.880121267610244,5.0961298756913855
