ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.063,-0.019,0.97,-4.846,-1.355,0.338,1
0.056,-0.029,0.968,-2.052,-0.312,0.683,1
0.063,-0.042,0.977,1.125,0.335,0.787,1
0.048,-0.013,0.984,3.849,-0.132,0.234,1
0.057,0.013,1.03,1.929,3.105,-0.215,1
0.049,0.008,1.037,0.916,3.86,-2.322,1
0.046,-0.026,1.032,-0.132,3.932,-0.664,1
0.046,-0.003,1.029,-1.075,1.594,2.721,1
0.052,-0.007,1.032,-0.691,2.925,3.412,1
0.052,0.014,1.02,0.986,6.054,1.098,1
0.059,-0.007,1.006,-0.097,6.701,0.234,1
0.057,-0.027,0.978,1.16,7.493,0.683,1
0.067,-0.025,0.962,1.44,5.191,3.55,1
0.071,-0.016,0.965,2.487,2.206,5.761,1
0.067,-0.019,0.969,-0.586,1.738,7.315,1
0.068,-0.039,0.989,-3.833,1.666,9.042,1
0.067,-0.023,0.97,-6.487,0.443,11.702,1
0.077,0.018,0.99,-1.738,-0.42,6.762,1
0.081,0.015,0.984,0.462,1.055,4.103,1
0.081,-0.012,0.982,-0.795,1.486,1.443,1
0.075,-0.034,1.007,-0.551,2.781,1.236,1
0.072,-0.044,0.97,-1.424,2.278,3.93,1
0.076,0.003,0.992,-1.389,0.048,5.795,1
0.066,-0.024,1.006,0.497,1.307,3.205,1
0.076,-0.017,1.01,-1.668,3.285,5.035,1
0.073,-0.015,1.005,-0.097,1.918,7.315,1
0.073,-0.002,0.995,1.754,1.235,7.004,1
0.08,-0.019,0.98,0.252,2.853,5.692,1
0.071,0,0.94,-2.471,1.486,6.003,1
0.079,0.059,0.971,-0.411,-0.923,4.483,1
0.073,-0.02,0.963,0.462,-0.204,2.065,1
0.086,-0.011,0.953,-0.76,-1.499,2.134,1
0.087,0.012,0.966,1.719,-1.211,2.859,1
0.09,0.028,0.986,2.522,-1.319,2.238,1
0.082,0.03,1.009,-0.271,-2.038,1.512,1
0.074,-0.006,1.007,-0.795,-3.009,-0.802,1
0.074,0.014,1.026,1.649,-1.427,-2.011,1
0.061,-0.051,0.99,1.894,-0.276,-2.184,1
0.068,-0.045,1,-1.144,-0.06,-0.18,1
0.064,0,0.987,0.602,-0.42,0.234,1
0.057,-0.049,1.002,1.021,-1.535,2.134,1
0.065,0.009,0.989,1.16,-0.24,3.55,1
0.072,0.022,1.005,2.278,-0.276,-0.042,1
0.062,-0.018,1.011,1.684,1.81,0.096,1
0.058,-0.023,0.99,-0.237,2.17,3.412,1
0.06,-0.003,0.993,-0.446,0.803,4.69,1
0.065,0.019,0.992,-0.586,1.594,4.897,1
0.057,0.034,0.982,-0.167,0.192,2.963,1
0.05,-0.031,1.023,0.148,0.228,2.479,1
0.058,0.022,0.988,-0.097,1.882,5.139,1
0.074,0.021,0.968,-0.167,2.17,3.654,1
0.076,0.057,0.974,0.776,3.572,0.58,1
0.069,-0.064,0.969,-1.529,-0.348,0.683,1
0.081,-0.037,0.99,-1.668,-0.564,4.828,1
0.096,-0.037,1.006,-4.113,2.493,7.557,1
0.104,0,1.003,-7.57,9.831,9.629,1
0.072,0.003,0.968,-11.725,9.363,12.289,1
0.074,-0.024,0.969,-9.77,2.637,15.432,1
0.064,-0.024,0.97,-3.275,1.558,17.85,1
0.045,-0.031,0.993,-0.795,-0.168,22.582,1
0.036,0.044,0.986,-1.633,-2.074,26.278,1
0.082,0.189,1.039,3.605,-3.549,15.985,1
0.081,0.144,1.015,4.233,-1.283,1.927,1
0.05,-0.028,0.981,-1.424,-2.074,-4.739,1
0.068,-0.059,0.996,-5.09,0.839,8.559,1
0.073,0.019,0.972,1.859,1.307,8.628,1
0.118,0.056,0.987,3.849,1.307,2.928,1
0.106,-0.008,0.969,-1.598,1.954,-1.734,1
0.069,-0.032,0.997,-7.046,2.997,2.825,1
0.077,0.024,0.989,-5.998,3.249,6.21,1
0.074,0.005,0.996,-2.96,-2.182,5.588,1
0.071,0.074,1.016,0.043,0.156,2.652,1
0.061,0.059,0.981,4.128,1.522,-0.353,1
0.05,-0.026,0.978,2.732,-1.463,-1.009,1
0.048,0.022,0.975,2.208,-0.276,1.236,1
0.054,0.021,1.008,4.163,-3.333,2.549,1
0.075,0.041,0.997,2.976,-1.103,-0.387,1
0.079,0.015,0.964,1.405,-1.607,-2.149,1
0.086,-0.02,0.993,-0.062,0.084,0.096,1
0.095,0.009,0.998,0.462,0.228,2.307,1
0.097,-0.014,1.02,-0.167,-0.06,3.101,1
0.097,0.046,0.984,0.532,2.242,2.169,1
0.082,-0.001,0.974,1.754,0.731,-1.044,1
0.06,-0.005,1.006,-0.865,1.307,2.134,1
0.046,0.026,0.955,0.532,2.134,0.822,1
0.051,0.025,0.979,1.265,-1.103,0.994,1
0.05,0.015,0.992,3.744,0.012,-0.249,1
0.058,0.002,0.967,2.871,0.192,-1.527,1
0.076,0.018,0.987,0.916,-0.204,-0.767,1
0.076,-0.023,0.996,1.475,-2.11,0.683,1
0.083,0.284,1.31,-12.773,21.987,42.201,2
0.115,0.704,1.282,-6.662,41.193,37.711,2
0.197,0.994,1.056,29.027,53.817,-1.285,2
0.234,0.991,0.91,51.655,58.817,-62.18,2
0.277,1.423,0.979,79.94,66.729,-135.44,2
0.146,1.5,0.964,93.385,106.652,-267.937,2
-0.166,1.86,0.926,119.959,126.038,-381.574,2
-0.741,1.833,0.589,154.914,148.912,-553.62,2
-1.233,0.705,0.113,155.962,113.593,-628.641,2
-1.146,0.729,0.482,177.507,53.206,-577.245,2
-1.564,-0.196,0.311,154.076,113.018,-688.569,2
