GESTURE,ACC-X-MIN-ring1,ACC-Y-MIN-ring1,ACC-Z-MIN-ring1,GYRO-X-MIN-ring1,GYRO-Y-MIN-ring1,GYRO-Z-MIN-ring1,ACC-X-MAX-ring1,ACC-Y-MAX-ring1,ACC-Z-MAX-ring1,GYRO-X-MAX-ring1,GYRO-Y-MAX-ring1,GYRO-Z-MAX-ring1,ACC-X-MEAN-ring1,ACC-Y-MEAN-ring1,ACC-Z-MEAN-ring1,GYRO-X-MEAN-ring1,GYRO-Y-MEAN-ring1,GYRO-Z-MEAN-ring1,ACC-X-VAR-ring1,ACC-Y-VAR-ring1,ACC-Z-VAR-ring1,GYRO-X-VAR-ring1,GYRO-Y-VAR-ring1,GYRO-Z-VAR-ring1,ACC-X-SKEW-ring1,ACC-Y-SKEW-ring1,ACC-Z-SKEW-ring1,GYRO-X-SKEW-ring1,GYRO-Y-SKEW-ring1,GYRO-Z-SKEW-ring1,ACC-X-KURT-ring1,ACC-Y-KURT-ring1,ACC-Z-KURT-ring1,GYRO-X-KURT-ring1,GYRO-Y-KURT-ring1,GYRO-Z-KURT-ring1
up,-1.616,-0.651,-3.614,-217.091,-194.53,-87.118,1.141,0.86,4.603,125.546,1173.592,110.142,0.617595,0.06931999999999999,0.481485,-1.5764700000000003,2.5768650000000024,1.4327149999999995,0.22762981097499999,0.041309217599999996,0.529290699775,1118.0930910791,24488.847166786774,687.1176721937751,-1.5528633622447707,-0.15462240012065465,0.5570753234930279,-1.501730795063275,5.436701901158399,0.41369642137481166,3.5550110873805076,3.4996056609177835,12.869797861943283,11.200717252321446,33.45486564705679,2.8758216500758493
up,-1.329,-1.079,-2.313,-143.933,-167.016,-202.206,1.122,1.641,3.857,651.899,1130.109,235.592,0.45621500000000004,0.081705,0.6131399999999999,3.385020000000001,-0.3445149999999967,-3.7445349999999995,0.221945658775,0.092288847975,0.49122095039999997,4293.9729291596,22022.82879881977,2008.9365738087754,-0.5739767706908877,0.9717393405350992,0.20754294294788625,5.973327759021729,5.370358870332107,1.1265494150584443,0.42468016313430645,7.097561248628447,5.829623047013395,52.31472784552942,33.1511420280398,9.411083347724897
up,-0.417,-0.193,-1.676,-16.928,-109.973,-20.593,1.026,0.484,2.504,91.464,637.479,45.482,0.64303,0.007145000000000001,0.4737549999999999,0.840725000000001,2.0401849999999944,-1.3686899999999997,0.1509848191,0.005310833975,0.33483694497499994,192.27758056937498,12592.406499210778,73.99421301390001,-0.630715805607932,2.161095150339212,0.5190632427368127,3.163335567443823,3.955351930213564,2.7397749995916554,-1.0857790997592114,11.842868263335387,1.8649104875496771,14.068754954119889,16.815062327068937,12.152323457467485
up,-0.998,-0.733,-2.66,-45.214,-81.308,-79.001,1.214,1.185,3.49,165.425,757.966,75.014,0.594565,-0.009829999999999997,0.56015,-1.1172449999999996,1.9674050000000034,-1.7441500000000003,0.172372095775,0.018295571100000005,0.42280072750000003,411.770497564975,13730.59270290098,194.34025152750002,-0.7884073452982044,3.230454337420981,-0.01953142489009291,5.291914059096994,4.737278476803535,1.980377189708371,0.29833318825094146,35.38651731372089,6.926880886748715,41.29879641253492,23.777190050286624,16.35526797118749
up,-0.865,-0.39,-1.897,-89.143,-119.36,-78.863,1.276,0.418,3.299,94.013,726.1,67.657,0.42442,0.00536,0.713605,-0.3229400000000002,2.3587449999999985,0.12274500000000003,0.1309646436,0.0084954204,0.3750917589749999,357.4514522164,14318.063851029976,195.561981149975,0.1446516150144394,-0.5108757407607315,-0.3787612374126143,0.6420646514145174,3.9171799541277763,0.5805045057149526,0.47390625736460157,6.407463063698272,4.063964378955266,6.3506120254115705,17.48289164044093,12.256525911225467
up,-0.46,-2.066,-2.058,-104.823,-179.964,-190.946,1.88,0.52,2.466,130.47,534.039,83.097,0.664795,-0.018295000000000002,0.41220999999999997,1.1321499999999998,2.1689850000000024,-0.6096499999999999,0.144365722975,0.03043279797499999,0.4193076859,428.93027735749996,12913.039383414774,385.59986736750005,-0.3849779703740579,-7.711479683232234,-0.02033192417742839,0.7937321941506645,2.9184966003766877,-4.17353705951357,-0.5414594981925078,95.75595407292573,1.5817163872500979,12.89791559595449,9.605156113556827,47.984483359188495
up,-0.076,-0.733,-1.775,-49.893,-100.083,-51.611,1.145,0.635,1.114,124.079,415.782,39.921,0.718925,-0.03326,0.3600399999999999,-2.4541449999999996,-15.805155000000003,-1.6429500000000001,0.09355780937500001,0.009233652399999999,0.26239256839999997,264.088493743975,2516.055470750975,57.84689253749999,-0.4857255217646185,0.6344961674949309,-0.3353188102788753,3.4716020125167733,3.4225407043408667,-2.0134074260815265,-1.3796244129244943,29.267458222215694,0.13615545312983235,25.920633507920883,28.506997267414416,19.351105433335093
up,-0.711,-2.124,-3.877,-109.397,-124.612,-172.364,3.462,1.23,2.776,90.451,633.558,116.601,0.630895,-0.012140000000000001,0.49899499999999997,-0.5883949999999998,-2.2512750000000006,3.0479900000000004,0.192120273975,0.0471887604,0.541465564975,363.68622425897496,12589.140909359376,473.6821947499,0.7957202929581075,-3.6088028701439336,-1.1485212297829952,0.7367325879508608,4.060795068553506,-0.9040087084065489,7.898755470267425,50.98641614519154,8.761196250005444,9.767902399710586,17.340262891916968,27.095678366396815
up,-0.503,-0.338,-2.304,-75.699,-84.545,-41.698,1.047,0.473,2.911,60.001,566.229,36.778,0.663485,0.019604999999999997,0.48600499999999996,-0.42982000000000026,2.7940750000000003,-0.07671000000000007,0.122402359775,0.007497118975,0.351228324975,264.8531184876,12081.480975169374,95.42967001590002,-0.8218629510122442,0.48527088139855573,0.29823088277329135,0.4649493676423878,3.875076277716527,0.8345833827862135,0.052925447186249475,6.463664913741744,3.9744011978239717,4.409265305516156,15.197867529416648,4.053020278957119
up,-0.575,-0.492,-2.421,-105.032,-120.835,-53.372,1.06,0.483,2.968,135.743,667.115,59.16,0.610945,0.025569999999999996,0.5433499999999999,0.03530999999999949,2.1544149999999966,1.1246349999999998,0.122560031975,0.0107026051,0.39508125750000006,347.2305376939,14101.574354692777,106.721944721775,-0.6280859968655015,-0.6989864978361878,-0.28141141723405594,1.9236944210676585,4.441082922610434,-0.3043682574959636,0.26391272475906025,8.260925018503649,4.852663080275818,20.59069910152234,20.35883765322891,15.6455275177155
up,-0.678,-0.557,-3.006,-91.658,-94.508,-84.838,1.265,0.592,2.295,149.99,665.64,72.873,0.619205,0.034015,0.500945,0.14530500000000018,0.7256299999999988,-0.7309349999999999,0.129092702975,0.013783374775000001,0.42046314197499995,478.23521619197504,13514.3093394331,164.360178800775,-0.686553947513343,-1.0346854826922394,-0.6004717410716903,2.761926696224835,4.229114489833314,-1.5850208915593949,0.4209003865876797,8.766381291232236,3.8406053505349753,17.94037167183241,18.998759729722458,16.201742428956642
