ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.003,-0.516,0.836,-189.923,10.190,-7.503,1
0.015,-0.525,0.892,-208.291,19.398,-18.832,1
0.003,-0.505,0.826,-200.155,25.440,-19.903,1
-0.002,-0.483,0.860,-156.435,10.154,-11.820,1
0.015,-0.416,0.914,-133.562,7.529,-2.114,1
0.009,-0.332,0.886,-101.121,3.824,0.027,1
0.007,-0.274,0.963,-106.918,-2.038,-2.494,1
0.015,-0.277,0.996,-103.566,11.377,-10.266,1
0.013,-0.249,0.920,-89.842,11.125,-10.197,1
0.022,-0.234,0.955,-79.959,3.752,-10.093,1
0.014,-0.219,0.968,-54.014,2.817,-9.022,1
0.013,-0.204,0.952,-60.404,4.148,-13.893,1
0.021,-0.164,0.992,-74.023,5.263,-13.236,1
0.116,-0.128,0.953,-75.140,12.636,-21.284,1
0.002,-0.146,0.979,-86.350,7.529,-26.120,1
-0.010,-0.142,0.977,-57.296,6.162,-18.901,1
0.048,-0.062,0.936,-15.252,1.810,-5.430,1
0.024,-0.062,0.949,-19.373,-6.139,-13.409,1
0.036,-0.052,1.023,-30.512,-6.103,-16.587,1
0.017,-0.112,1.072,-62.325,7.780,-23.080,1
0.013,-0.160,0.952,-63.163,17.491,-4.567,1
0.019,-0.022,0.959,-55.376,5.838,3.619,1
0.023,0.009,0.968,-38.754,5.119,3.274,1
0.028,0.037,0.992,-34.004,1.990,2.238,1
0.017,0.032,1.001,-35.157,3.069,-4.429,1
0.044,-0.038,1.026,-44.725,4.436,-4.843,1
0.017,-0.033,0.991,-43.817,6.773,3.654,1
0.028,0.022,1.004,-31.700,6.126,8.144,1
0.028,0.066,0.994,-26.043,9.866,11.840,1
0.037,0.108,0.959,-16.440,7.888,10.147,1
0.051,0.075,0.992,-21.678,6.234,4.759,1
0.041,0.043,1.016,-25.309,5.011,4.310,1
0.036,0.074,0.980,-24.541,14.039,7.626,1
0.020,0.088,0.976,-18.954,5.299,6.521,1
0.025,0.107,0.981,-19.128,7.637,6.348,1
0.057,0.019,0.991,-21.014,6.558,3.101,1
0.061,0.043,0.937,-12.109,5.443,7.246,1
0.045,0.129,1.021,4.373,-6.570,13.601,1
0.038,0.177,1.080,-8.059,4.040,5.864,1
0.030,0.101,0.974,-13.681,7.133,-0.767,1
0.039,0.105,0.992,-1.808,-0.384,3.343,1
0.041,0.128,1.007,-4.671,4.400,1.443,1
0.059,0.080,0.954,-2.681,7.816,3.861,1
0.056,0.136,0.952,1.719,1.414,6.348,1
0.052,0.144,0.986,12.055,-0.816,4.414,1
0.044,0.111,0.941,14.186,-3.225,2.307,1
0.038,0.109,1.041,3.430,-4.052,2.341,1
0.047,0.082,0.968,10.309,2.026,1.927,1
0.051,0.077,0.976,6.503,-2.578,5.139,1
0.044,0.122,1.009,4.582,-0.024,5.001,1
0.049,0.090,0.961,8.982,1.271,2.410,1
0.044,0.097,1.023,-6.697,-1.679,1.167,1
0.048,0.069,1.020,-4.636,8.068,3.032,1
0.045,0.090,0.943,-0.306,1.810,4.276,1
0.050,0.120,1.011,1.509,-1.175,4.517,1
0.039,0.125,0.972,5.455,1.055,1.720,1
0.063,0.081,0.989,5.386,-3.009,-0.007,1
0.050,0.068,0.991,3.744,4.472,3.447,1
0.048,0.103,0.968,6.119,-3.009,3.999,1
0.062,0.094,1.033,-0.306,3.213,4.241,1
0.024,0.109,0.942,1.894,2.529,5.519,1
0.046,0.137,1.008,3.290,-1.894,1.443,1
0.058,0.075,0.945,7.341,0.623,0.822,1
0.035,0.090,0.971,3.779,-5.923,2.894,1
0.039,0.109,1.025,8.808,-4.160,1.996,1
0.049,0.076,0.973,8.738,-4.340,0.027,1
0.038,0.096,1.055,4.443,-1.247,1.927,1
0.041,0.107,1.017,2.522,3.716,-1.562,1
0.049,0.031,0.981,0.671,4.436,-2.667,1
0.046,0.054,0.961,4.687,3.824,3.792,1
0.053,0.090,0.977,5.630,-0.708,3.930,1
0.039,0.083,0.987,1.929,-1.139,3.412,1
0.046,0.110,1.018,5.071,-1.031,2.169,1
0.034,0.110,1.009,0.287,3.249,-1.907,1
0.047,0.061,0.981,-0.341,2.997,-2.667,1
0.045,0.048,0.976,-0.865,2.278,-0.836,1
0.058,0.067,0.981,0.462,0.192,0.718,1
0.040,0.075,0.985,1.649,0.875,3.136,1
0.059,0.107,0.977,4.303,-0.204,2.376,1
0.038,0.072,0.986,-1.424,0.407,0.131,1
0.005,0.097,0.994,4.024,0.947,-0.007,1
0.073,0.084,0.966,-5.859,2.889,-5.914,1
0.063,0.055,0.986,1.719,-0.564,3.170,1
0.041,0.087,0.977,-0.691,0.407,0.407,1
0.059,0.117,1.034,0.392,-0.060,0.303,1
0.046,0.023,0.975,-4.043,3.357,-2.184,1
0.043,0.060,0.986,3.116,0.947,3.205,1
0.042,0.070,1.001,-2.576,2.170,2.065,1
0.042,0.085,0.953,-2.960,1.271,1.029,1
0.058,0.085,0.984,1.021,-2.146,0.338,1
0.049,0.075,0.993,-0.481,2.350,1.201,1
0.047,0.105,0.990,2.033,-0.420,0.200,1
0.163,0.629,-0.836,144.228,-5.419,25.345,2
0.174,0.726,-0.828,124.464,-9.088,21.269,2
0.158,0.662,-0.829,104.838,-14.339,15.950,2
0.162,0.721,-0.580,94.502,-12.289,16.814,2
0.146,0.740,-0.633,79.696,8.248,18.886,2
0.160,0.833,-0.696,79.870,7.924,20.751,2
0.154,0.879,-0.763,65.134,7.888,12.254,2
0.146,0.863,-0.775,57.137,0.084,6.659,2
0.153,0.853,-0.656,47.953,-9.340,1.374,2
0.139,0.788,-0.610,30.668,7.025,0.062,2
0.113,0.705,-0.691,28.154,7.169,2.583,2
0.123,0.757,-0.664,33.741,1.342,5.830,2
0.143,0.780,-0.669,28.468,2.098,6.279,2
0.152,0.758,-0.647,26.303,-1.499,3.930,2
0.127,0.731,-0.623,16.036,-1.499,3.688,2
0.113,0.678,-0.614,15.547,1.055,8.489,2
0.123,0.764,-0.602,16.385,3.536,12.531,2
0.133,0.793,-0.628,15.408,-0.348,11.425,2
0.074,0.799,-0.627,9.436,-0.060,6.693,2
0.127,0.812,-0.606,7.446,-0.780,7.695,2
0.117,0.751,-0.503,7.097,-1.391,6.590,2
0.108,0.792,-0.600,3.325,4.508,10.182,2
0.127,0.850,-0.616,9.297,1.990,9.284,2
0.130,0.875,-0.618,10.274,1.450,4.379,2
0.125,0.850,-0.615,3.675,0.299,-1.700,2
0.103,0.762,-0.586,1.824,0.299,-1.078,2
0.107,0.806,-0.596,2.417,-0.851,2.099,2
0.114,0.770,-0.589,3.221,1.127,1.547,2
0.113,0.823,-0.596,6.468,-0.995,2.894,2
0.121,0.826,-0.583,10.484,-0.887,1.927,2
0.105,0.796,-0.590,11.671,-0.276,-1.389,2
0.103,0.806,-0.549,6.503,-0.456,2.583,2
0.105,0.798,-0.592,2.313,3.752,3.619,2
0.119,0.838,-0.565,6.782,3.033,4.103,2
0.119,0.831,-0.560,10.484,1.666,1.271,2
0.122,0.845,-0.594,9.611,1.378,-1.285,2
0.103,0.802,-0.606,4.967,-1.463,-0.526,2
0.104,0.787,-0.611,-2.017,1.342,1.132,2
0.115,0.792,-0.600,-4.392,-0.060,1.961,2
0.104,0.780,-0.609,-6.313,-1.283,2.376,2
0.099,0.800,-0.607,-6.173,-2.218,2.928,2
0.100,0.793,-0.611,-11.446,-2.182,4.345,2
0.117,0.882,-0.610,-24.855,-1.319,0.372,2
0.120,0.862,-0.596,-30.966,-3.297,-1.216,2
0.120,0.856,-0.633,-45.144,1.091,-2.702,2
0.102,0.809,-0.654,-57.401,-2.506,-2.287,2
0.100,0.765,-0.637,-59.426,-3.477,0.338,2
0.125,0.821,-0.597,-64.001,-2.182,-2.253,2
0.115,0.758,-0.649,-70.636,6.198,-2.909,2
0.128,0.783,-0.607,-91.343,12.348,-3.807,2
0.114,0.702,-0.782,-107.931,13.103,-5.499,2
0.114,0.678,-0.779,-120.083,4.400,-3.496,2
0.089,0.694,-0.691,-111.318,0.695,1.374,2
0.116,0.661,-0.760,-119.140,9.902,-4.221,2
0.126,0.660,-0.797,-129.791,18.247,-11.095,2
0.110,0.597,-0.851,-133.771,11.557,-16.587,2
0.074,0.399,-0.913,-135.273,8.931,-16.310,2
0.088,0.438,-0.852,-138.590,0.803,-3.634,2
