ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.857,0.261,-0.027,38.630,-115.296,-38.796,1
0.831,0.063,0.231,-4.252,-155.579,-56.895,1
0.831,-0.021,0.409,-17.313,-153.061,-40.558,1
0.798,-0.103,0.408,-44.585,-133.387,-24.635,1
0.821,-0.253,0.496,-65.188,-121.770,-8.470,1
0.841,-0.050,0.503,-33.725,-106.628,43.997,1
0.800,0.317,0.479,-0.027,-114.001,17.954,1
0.829,0.113,0.677,-11.097,-117.310,-7.917,1
0.790,0.125,0.503,9.541,-118.749,2.065,1
0.745,0.002,0.788,29.306,-142.487,-18.590,1
0.780,-0.317,0.868,-15.147,-99.147,7.557,1
0.744,0.044,0.772,-7.046,-65.986,51.768,1
0.730,0.221,0.696,11.182,-65.483,35.224,1
0.675,0.184,0.626,29.062,-76.525,25.000,1
0.659,0.272,0.597,57.033,-80.409,17.781,1
0.720,0.080,0.609,16.106,-95.695,-6.605,1
0.701,-0.187,0.859,-10.678,-107.384,2.272,1
0.645,0.144,0.964,8.144,-75.086,43.099,1
0.657,0.385,0.780,-0.795,-42.141,24.413,1
0.541,0.299,0.562,21.693,-52.103,-13.547,1
0.534,0.249,0.594,72.363,-95.623,-26.742,1
0.572,0.109,0.684,75.261,-118.102,-40.005,1
0.506,-0.038,0.957,50.957,-121.195,-32.648,1
0.524,-0.012,0.993,45.893,-73.863,-12.027,1
0.479,0.034,0.844,24.941,-56.132,-11.233,1
0.442,-0.051,0.711,15.897,-65.375,-15.171,1
0.482,-0.144,0.809,9.506,-92.170,-2.149,1
0.379,-0.111,0.948,32.204,-85.660,0.269,1
0.439,-0.017,0.894,34.509,-78.107,4.552,1
0.442,0.146,1.003,83.048,-91.594,0.476,1
0.383,0.079,1.042,82.210,-70.015,-35.031,1
0.477,0.184,1.485,-217.091,-39.911,-42.285,1
0.508,0.027,0.483,125.546,-88.933,50.007,1
0.323,0.236,0.889,42.261,-155.938,-8.297,1
0.659,-0.302,1.013,-15.462,-140.221,-42.112,1
0.122,-0.602,1.096,-95.045,-172.734,31.873,1
0.101,0.155,1.354,-46.715,-194.530,59.816,1
0.115,0.294,1.385,-48.322,-64.116,10.769,1
0.093,-0.046,0.826,-42.246,-9.411,-27.191,1
0.088,-0.117,1.047,-11.970,-58.793,-2.494,1
0.108,0.023,1.278,-11.621,-17.540,11.045,1
0.097,0.154,1.054,-8.268,20.584,9.318,1
0.118,0.197,0.887,1.789,15.477,-3.012,1
0.129,0.145,0.915,11.113,-0.780,-14.756,1
0.125,0.092,1.054,18.620,-7.218,-16.103,1
0.118,0.051,1.032,24.452,0.335,-19.523,1
0.124,-0.045,1.047,20.960,9.327,-17.899,1
0.136,-0.040,0.936,13.522,12.996,-7.226,1
0.162,-0.025,0.942,3.814,3.824,-5.534,1
0.160,-0.085,0.991,-5.789,2.098,-5.638,1
0.140,-0.072,0.994,-13.192,6.378,5.554,1
0.137,-0.012,0.987,-11.271,3.141,12.047,1
0.130,0.105,1.007,4.024,2.026,12.496,1
0.143,0.113,0.994,6.433,7.025,-2.425,1
0.148,0.001,0.920,-2.716,8.032,-5.638,1
0.145,0.005,0.970,-4.602,-0.096,3.930,1
0.137,0.048,1.007,-4.846,3.069,3.654,1
0.133,-0.007,0.972,-5.475,3.429,-2.460,1
0.143,-0.016,1.035,-4.183,1.450,4.621,1
0.146,0.064,1.000,-5.475,10.550,7.557,1
0.141,0.116,0.921,2.487,3.464,1.927,1
0.162,0.059,0.984,6.189,-1.607,-8.470,1
0.144,-0.021,0.968,5.211,2.170,-6.674,1
0.146,0.014,0.972,7.795,-0.564,1.098,1
0.145,-0.050,1.012,-1.913,-1.031,-2.425,1
0.132,-0.019,1.005,-3.065,2.421,6.141,1
0.149,0.023,1.001,-4.776,3.213,4.310,1
0.152,0.045,0.960,-4.078,7.457,3.032,1
0.162,0.059,0.938,-2.192,1.019,1.512,1
0.157,0.058,0.974,-1.040,-0.312,-0.284,1
0.149,0.031,0.982,-0.481,-0.851,-1.527,1
0.140,-0.006,0.968,-1.110,-2.866,1.547,1
0.140,0.048,1.023,2.487,-4.304,7.902,1
0.151,0.098,1.012,3.814,0.803,-0.077,1
0.156,0.003,0.993,1.579,0.839,-8.021,1
0.152,-0.027,0.973,-2.192,3.788,-1.285,1
0.145,-0.007,0.956,-1.703,1.235,2.721,1
0.133,0.029,0.960,-0.306,-0.204,5.001,1
0.140,0.050,0.967,3.046,-3.549,3.585,1
0.151,0.083,1.002,7.900,-2.182,1.340,1
0.154,0.055,0.971,5.525,-0.096,-6.259,1
0.156,0.016,0.970,1.894,-1.535,-3.220,1
0.153,0.044,0.992,-0.097,-2.074,1.478,1
0.144,0.059,1.011,-0.795,0.228,-0.940,1
0.131,0.004,1.009,-1.144,0.803,-4.809,1
0.116,-0.038,1.039,2.836,3.177,-1.078,1
0.139,0.011,1.056,11.601,4.975,3.757,1
0.149,0.092,1.038,18.585,12.600,0.752,1
0.157,0.079,0.914,12.265,13.643,-7.157,1
0.178,0.189,1.241,56.229,-11.318,-18.279,2
0.261,-0.031,1.573,20.192,-32.142,-66.912,2
0.367,-0.748,2.435,-69.239,1.702,-46.188,2
0.091,-0.168,3.497,-69.553,102.732,114.183,2
-0.171,0.999,3.857,-69.239,329.319,87.380,2
-0.464,0.562,3.054,-98.362,580.364,-113.783,2
-0.900,-0.612,2.354,-143.933,761.922,-202.206,2
-1.246,-0.681,1.631,45.299,1046.056,-95.477,2
-1.329,-0.394,-1.116,269.243,1130.109,102.957,2
-0.747,1.001,-2.310,651.899,553.030,235.592,2
-0.176,1.641,-0.591,341.598,267.062,53.737,2
-0.409,0.341,-1.053,-26.427,393.915,-153.712,2
-0.435,-1.079,-2.313,-143.235,190.166,-70.021,2
0.362,-0.624,-0.483,-31.176,-29.481,177.841,2
0.681,0.563,0.013,78.648,-60.807,200.706,2
0.998,1.409,0.203,125.302,-38.688,81.093,2
0.762,0.315,-0.031,30.982,9.507,-69.744,2
0.747,-0.626,-0.442,30.423,-15.202,-20.939,2
0.924,-0.375,-0.202,-14.589,-91.307,100.885,2
1.122,0.555,0.342,-51.814,-109.686,130.866,2
1.110,0.922,0.277,-112.086,-53.650,97.914,2
0.981,1.128,0.024,10.763,-18.007,12.911,2
0.933,0.490,0.054,75.121,8.464,-84.182,2
0.918,-0.130,-0.033,94.083,34.360,-93.923,2
0.964,-0.217,-0.186,79.416,27.886,-37.415,2
