ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
0.052,-0.104,0.911,2.976,2.565,16.088,1
0.019,0.079,1.023,7.376,-2.542,24.792,1
0.029,0.201,0.952,7.132,4.256,8.351,1
0.028,0.032,1.039,-1.424,-0.564,-5.983,1
0.053,-0.056,0.977,-2.995,7.888,-3.634,1
0.067,-0.125,0.915,8.947,-3.693,4.448,1
0.067,-0.017,1.022,15.966,-3.765,8.697,1
0.063,-0.035,1.001,13.766,-0.276,6.728,1
0.050,-0.007,0.966,7.446,-1.643,7.108,1
0.055,0.055,1.011,-0.411,-3.045,0.476,1
0.064,-0.065,1.010,-6.452,-2.038,-5.430,1
0.051,-0.141,0.982,-6.767,-0.096,4.932,1
0.042,-0.055,1.013,1.684,-3.693,14.258,1
0.026,0.059,1.010,8.144,-0.995,0.476,1
0.020,0.130,1.018,5.211,1.019,7.902,1
0.035,-0.020,0.966,-2.890,0.983,-11.958,1
0.046,-0.114,0.970,-4.881,-1.319,-3.289,1
0.054,-0.138,0.967,-4.008,1.918,1.098,1
0.062,-0.071,0.971,0.916,-1.175,12.082,1
0.041,-0.006,0.993,1.824,0.587,11.598,1
0.033,0.002,0.976,-2.402,-2.542,8.144,1
0.035,-0.037,1.008,-4.078,-3.801,1.927,1
0.038,-0.047,1.018,-3.135,-1.715,1.512,1
0.049,-0.008,0.972,-0.411,0.839,6.970,1
0.038,0.049,1.052,-0.935,-2.470,5.174,1
0.029,0.058,0.969,4.268,0.479,-0.215,1
0.028,-0.059,0.971,4.548,-2.938,-1.182,1
0.034,0.038,1.009,6.189,-3.657,-0.111,1
0.041,-0.020,1.022,2.941,-0.060,-4.221,1
0.040,-0.055,0.997,-3.310,0.587,-4.670,1
0.040,-0.088,0.986,-3.554,-3.081,0.891,1
0.040,0.022,0.996,-0.271,-1.283,5.415,1
0.041,0.021,0.984,0.776,-2.002,0.994,1
0.035,-0.010,0.962,1.684,-0.456,-3.220,1
0.028,-0.062,1.058,-0.760,-2.002,0.269,1
0.023,-0.035,1.011,-4.776,3.680,2.099,1
0.042,-0.012,1.003,-4.846,6.162,1.650,1
0.033,-0.042,0.976,-3.763,3.429,0.407,1
0.018,0.060,1.022,2.173,3.752,3.239,1
0.014,0.023,0.996,4.233,3.932,-2.909,1
0.039,-0.013,0.991,-0.656,5.335,-3.703,1
0.064,-0.098,0.975,-5.859,4.687,-2.736,1
0.053,-0.064,0.968,-5.230,3.249,3.999,1
0.018,0.035,1.016,-4.148,0.803,4.966,1
0.031,0.058,0.982,1.160,0.515,-0.422,1
0.048,-0.010,1.016,-0.970,1.307,-2.633,1
0.064,-0.050,0.980,-3.763,2.314,-1.424,1
0.048,-0.039,0.970,-3.170,-1.103,2.721,1
0.024,0.046,1.009,0.881,-1.715,2.549,1
0.020,0.035,1.024,3.709,2.026,-1.734,1
0.025,-0.031,0.994,2.033,2.997,-2.287,1
0.046,0.009,1.013,3.221,5.155,-1.873,1
0.043,-0.074,0.943,3.360,6.270,-2.460,1
0.037,-0.051,0.968,0.287,-2.973,1.132,1
0.045,-0.025,0.994,0.252,-1.175,0.614,1
0.057,-0.049,0.961,-3.589,-0.923,2.998,1
0.059,-0.005,1.018,0.532,1.522,3.999,1
0.061,-0.036,0.951,2.417,1.954,3.412,1
0.055,-0.070,0.993,-2.297,-1.067,4.966,1
0.056,-0.006,0.999,-7.325,-0.744,8.420,1
0.039,0.043,1.037,-8.163,-2.362,6.624,1
0.025,0.065,1.046,-4.881,3.321,5.381,1
0.027,0.045,0.931,-0.935,5.443,-1.251,1
0.031,-0.027,0.999,1.405,0.192,-0.387,1
0.042,0.004,0.986,2.278,-0.312,2.928,1
0.029,0.053,1.023,3.360,2.889,0.683,1
0.056,0.016,1.001,4.478,2.997,-2.045,1
0.051,0.019,1.007,7.062,4.328,-1.285,1
0.062,-0.034,0.982,10.624,6.126,-1.804,1
0.069,-0.083,0.985,0.078,6.414,3.550,1
0.056,-0.010,0.951,-6.836,-0.024,7.522,1
0.059,0.030,0.993,-4.567,-1.139,5.035,1
0.050,0.039,1.000,-2.122,-0.492,2.756,1
0.060,0.014,0.969,2.941,4.723,-2.391,1
0.068,-0.045,0.956,4.059,1.594,-2.563,1
0.064,-0.031,0.964,1.021,-3.801,0.580,1
0.061,0.024,0.967,1.824,-2.182,-1.873,1
0.051,0.000,0.981,1.754,-4.412,-3.461,1
