ACC-X,ACC-Y,ACC-Z,GYRO-X,GYRO-Y,GYRO-Z,TEST
-0.223,-0.551,0.894,18.865,-7.973,-26.845,1
-0.184,-0.323,0.694,-28.452,-2.362,-30.092,1
-0.174,-0.281,0.622,-14.694,-35.595,-72.853,1
-0.256,-0.640,0.762,-21.503,-55.736,-116.823,1
-0.540,-1.185,0.985,-76.921,-30.056,-95.684,1
-0.310,-0.610,0.880,-22.166,46.768,3.274,1
-0.237,-0.452,0.800,-24.925,19.577,-11.060,1
-0.244,-0.478,0.825,-31.839,12.816,-24.255,1
-0.275,-0.416,0.924,-39.312,16.988,-27.329,1
-0.288,-0.368,0.863,-51.499,33.352,-46.361,1
-0.297,-0.559,0.940,-71.928,25.116,-38.140,1
-0.213,-0.455,0.779,-110.445,24.397,-15.205,1
-0.204,-0.453,0.790,-125.286,19.865,-1.078,1
-0.233,-0.461,0.987,-76.258,14.506,25.276,1
-0.261,-0.313,0.871,-68.366,20.117,13.256,1
-0.225,-0.322,0.820,-25.624,10.478,0.269,1
-0.298,-0.485,1.080,-36.763,3.716,-8.332,1
-0.254,-0.297,1.025,1.021,16.376,6.555,1
-0.212,-0.273,0.852,12.405,17.491,4.241,1
-0.184,-0.242,0.805,6.678,11.809,0.027,1
-0.194,-0.205,0.846,-23.878,3.464,-3.254,1
-0.187,-0.454,1.006,-69.937,-1.715,-1.596,1
-0.227,-0.322,1.027,-74.442,15.154,1.063,1
-0.189,-0.172,0.787,-23.389,14.686,-5.154,1
-0.176,-0.215,0.839,-22.341,-0.708,-15.551,1
-0.203,-0.223,0.965,1.859,-3.477,-3.945,1
-0.185,-0.255,0.905,-34.738,-4.844,-4.739,1
-0.191,-0.397,1.017,-57.226,-0.851,1.650,1
-0.219,-0.224,1.015,-94.312,11.017,6.003,1
-0.204,-0.158,0.945,-108.245,21.268,15.985,1
-0.187,-0.289,0.787,-35.960,-1.103,28.177,1
-0.202,-0.058,1.069,-14.868,-11.174,24.551,1
-0.283,-0.081,1.140,-2.332,-1.859,24.792,1
-0.213,-0.322,1.140,-42.385,25.979,12.289,1
-0.185,-0.247,0.968,-6.068,37.668,32.599,1
-0.125,-0.044,0.725,39.258,19.434,33.531,1
-0.170,-0.117,0.662,92.372,-12.037,27.348,1
-0.172,-0.181,1.039,48.233,-17.252,10.804,1
-0.203,-0.233,0.985,-14.274,18.678,3.654,1
-0.184,-0.178,0.990,-45.912,21.088,-7.088,1
-0.152,-0.173,0.926,-80.658,24.253,-9.126,1
-0.144,-0.209,0.972,-103.845,17.959,-27.951,1
-0.138,-0.086,1.122,-114.111,30.979,-31.785,1
-0.133,-0.001,1.021,-179.831,51.264,-52.992,1
-0.130,-0.114,1.005,-226.589,49.825,-70.366,1
-0.117,-0.260,1.192,-91.553,24.864,-30.265,1
-0.096,0.063,0.987,50.118,48.422,-1.976,1
-0.107,0.174,0.886,38.176,30.187,-5.430,1
-0.085,0.053,0.854,38.769,19.829,-13.858,1
-0.088,0.019,0.965,31.541,18.786,-12.235,1
-0.080,0.111,0.898,-1.459,15.837,-23.806,1
-0.050,0.014,0.895,-18.779,10.010,-29.056,1
-0.014,-0.212,1.155,23.335,19.757,-19.212,1
